1月1日 1801年意大利天文学家皮亚齐发现第一颗小行星谷神星
1月2日 1920年美国天文学家哈罗·沙普利确定银河系大小
1月3日 1823年英国植物学家罗伯特·布朗发现布朗运动
1月4日 1643年艾萨克·牛顿出生
1月5日 1972年美国阿波罗17号完成最后一次登月任务
1月6日 1912年德国地球物理学家魏格纳提出大陆漂移说
1月7日 1610年伽利略发现木星的四颗最大卫星
1月8日 1942年英国物理学家霍金出生
1月9日 1909年英国物理学家卢瑟福提出原子核模型
1月10日 1946年美国展示第一台电子计算机ENIAC
1月11日 1922年胰岛素首次用于治疗糖尿病
1月12日 2010年海地地震，地球物理学研究重要案例
1月13日 1610年伽利略发现木卫三
1月14日 1761年奥地利天文学家梅耶发表月球运动表
1月15日 1909年英国欧内斯特·沙克尔顿到达南磁极
1月16日 1978年美国NASA发射第一颗海洋卫星
1月17日 1706年美国科学家本杰明·富兰克林出生
1月18日 1911年尤金·埃利首次在舰艇上起降飞机
1月19日 1736年英国发明家詹姆斯·瓦特出生
1月20日 1930年美国天文学家克莱德·汤博发现冥王星
1月21日 1793年法国路易十六被处决，拉瓦锡化学时代开始
1月22日 1901年英国维多利亚女王去世，科学资助新模式开始
1月23日 1849年伊丽莎白·布莱克韦尔成为美国第一位女医生
1月24日 1984年苹果公司发布麦金塔电脑
1月25日 1627年英国化学家罗伯特·波义耳出生
1月26日 1949年美国贝尔实验室宣布发明晶体管
1月27日 1880年托马斯·爱迪生获得电灯专利
1月28日 1986年美国挑战者号航天飞机失事
1月29日 1886年卡尔·本茨获得汽油发动机专利
1月30日 1948年印度民族主义者和物理学家玻色逝世
1月31日 1958年美国发射第一颗人造卫星探险者1号
2月1日 2003年美国哥伦比亚号航天飞机返回时解体
2月2日 1971年乌干达首例埃博拉病例被发现
2月3日 1966年苏联月球9号首次在月球软着陆
2月4日 2004年Facebook上线，改变科学交流方式
2月5日 1971年阿波罗14号宇航员在月球打高尔夫
2月6日 1977年苹果公司成立
2月7日 1984年宇航员布鲁斯·麦克坎德利斯首次无系绳太空行走
2月8日 1672年艾萨克·牛顿向皇家学会报告光的色散实验
2月9日 1895年美国排球运动发明，运动科学新领域
2月10日 1996年深蓝计算机首次击败国际象棋世界冠军
2月11日 2016年LIGO宣布首次探测到引力波
2月12日 1809年查尔斯·达尔文出生
2月13日 1914年美国遗传学家建立果蝇实验室
2月14日 270年圣瓦伦丁逝世，后来成为心理学研究主题
2月15日 1564年伽利略·伽利雷出生
2月16日 1923年霍华德·卡特打开图坦卡蒙墓室
2月17日 1869年俄国化学家门捷列夫提出元素周期表
2月18日 1930年美国天文学家克莱德·汤博发现冥王星
2月19日 1473年波兰天文学家哥白尼出生
2月20日 1962年约翰·格伦成为第一个绕地球飞行的美国人
2月21日 1947年宝丽来相机发明者埃德温·兰德展示即时摄影
2月22日 1857年德国物理学家赫兹出生
2月23日 1455年古登堡圣经出版，印刷术革命开始
2月24日 1582年教皇格列高利十三世颁布格列历
2月25日 1836年塞缪尔·柯尔特获得转轮手枪专利
2月26日 1935年英国物理学家沃森-瓦特首次演示雷达
2月27日 1932年英国物理学家查德威克发现中子
2月28日 1953年沃森和克里克发现DNA双螺旋结构
2月29日 1504年哥伦布利用月食预言吓唬牙买加土著
3月1日 1896年法国物理学家贝克勒尔发现放射性
3月2日 1969年协和式超音速客机首飞
3月3日 1847年亚历山大·格雷厄姆·贝尔出生
3月4日 1835年塞缪尔·柯尔特获得左轮手枪专利
3月5日 1827年意大利物理学家伏打逝世
3月6日 1869年门捷列夫正式提出元素周期表
3月7日 1876年亚历山大·格雷厄姆·贝尔获得电话专利
3月8日 1917年美国开始实行夏令时
3月9日 1454年亚美利哥·韦斯普奇出生
3月10日 1876年亚历山大·格雷厄姆·贝尔第一次用电话通话
3月11日 1811年乌尔班发现大彗星
3月12日 1881年土耳其微生物学家发现炭疽疫苗
3月13日 1781年威廉·赫歇尔发现天王星
3月14日 1879年阿尔伯特·爱因斯坦出生
3月15日 1903年亨利·福特创立福特汽车公司
3月16日 1926年罗伯特·戈达德发射第一枚液体燃料火箭
3月17日 1958年美国发射第一颗成功的人造卫星探险者1号
3月18日 1965年苏联宇航员列昂诺夫完成首次太空行走
3月19日 1932年悉尼海港大桥开通
3月20日 1916年爱因斯坦发表广义相对论
3月21日 1768年法国数学家约瑟夫·傅立叶出生
3月22日 1995年俄罗斯宇航员波利亚科夫创太空停留纪录
3月23日 2001年和平号空间站坠入地球大气层
3月24日 1882年罗伯特·科赫发现结核杆菌
3月25日 1655年克里斯蒂安·惠更斯发现土卫六
3月26日 1953年乔纳斯·索尔克宣布脊髓灰质炎疫苗成功
3月27日 1845年威廉·伦琴出生
3月28日 1979年美国三哩岛核事故
3月29日 1974年美国宇航员首次在太空站停留超过84天
3月30日 1842年美国医生克劳福德·朗首次使用乙醚麻醉
3月31日 1727年艾萨克·牛顿逝世
4月1日 1578年英国医生威廉·哈维出生
4月2日 1805年丹麦作家安徒生出生，后来成为科学研究对象
4月3日 1973年摩托罗拉工程师马丁·库珀打出第一个手机电话
4月4日 1968年美国民权领袖马丁·路德·金遇刺
4月5日 1908年赫伯特·克拉克·胡佛建立国家地理学会
4月6日 1896年第一届现代奥运会在雅典开幕
4月7日 1953年联合国世界卫生组织成立日
4月8日 1974年汉克·阿伦打破贝比·鲁斯的本垒打纪录
4月9日 1959年美国NASA宣布第一批宇航员
4月10日 1815年印度尼西亚坦博拉火山爆发
4月11日 1970年阿波罗13号发射
4月12日 1961年尤里·加加林成为第一个进入太空的人
4月13日 1970年阿波罗13号氧气罐爆炸
4月14日 1629年荷兰科学家克里斯蒂安·惠更斯出生
4月15日 1452年列奥纳多·达·芬奇出生
4月16日 1972年阿波罗16号发射
4月17日 1790年本杰明·富兰克林逝世
4月18日 1955年阿尔伯特·爱因斯坦逝世；2010年我的一位朋友出生
4月19日 1882年查尔斯·达尔文逝世
4月20日 1902年居里夫妇分离出镭
4月21日 1910年马克·吐温逝世
4月22日 1970年第一个地球日
4月23日 1858年马克斯·普朗克出生
4月24日 1990年哈勃太空望远镜发射
4月25日 1953年沃森和克里克发表DNA结构论文
4月26日 1986年切尔诺贝利核事故
4月27日 1791年塞缪尔·莫尔斯出生
4月28日 1906年库尔特·哥德尔出生
4月29日 1899年杜克·埃林顿出生
4月30日 1777年卡尔·弗里德里希·高斯出生
5月1日 1960年美国U-2侦察机在苏联被击落
5月2日 1969年英国豪华客轮女王伊丽莎白二号首航
5月3日 1978年第一个垃圾邮件信息发送
5月4日 1979年玛格丽特·撒切尔成为英国首相
5月5日 1961年艾伦·谢泼德成为第一个进入太空的美国人
5月6日 1954年罗杰·班尼斯特打破四分钟一英里纪录
5月7日 1992年美国航天飞机奋进号首次发射
5月8日 1886年约翰·彭伯顿首次销售可口可乐
5月9日 1960年美国FDA批准避孕药
5月10日 1869年第一条横贯大陆铁路建成
5月11日 1997年深蓝计算机击败国际象棋世界冠军
5月12日 1937年乔治六世加冕典礼首次电视转播
5月13日 1917年法蒂玛圣母显现
5月14日 1973年美国天空实验室发射
5月15日 1859年皮埃尔·居里出生
5月16日 1960年西奥多·梅曼建造第一台工作激光器
5月17日 1865年国际电信联盟成立
5月18日 1980年美国圣海伦斯火山爆发
5月19日 1961年金星1号飞越金星
5月20日 1873年李维·斯特劳斯获得牛仔裤专利
5月21日 1927年查尔斯·林德伯格完成首次跨大西洋直飞
5月22日 1859年阿瑟·柯南·道尔出生
5月23日 1934年美国银行抢劫犯邦妮和克莱德被击毙
5月24日 1844年塞缪尔·莫尔斯发送第一条电报信息
5月25日 1961年肯尼迪宣布阿波罗计划
5月26日 1977年《星球大战》电影首映
5月27日 1937年金门大桥开通
5月28日 1998年巴基斯坦进行核试验
5月29日 1953年希拉里和诺尔盖首次登顶珠穆朗玛峰
5月30日 1431年圣女贞德被处决
5月31日 1859年大本钟开始报时
6月1日 1967年披头士乐队发行《佩珀军士》专辑
6月2日 1953年伊丽莎白二世加冕
6月3日 1965年爱德华·怀特完成美国首次太空行走
6月4日 1783年蒙哥尔费兄弟首次公开演示热气球
6月5日 1981年美国报告首例艾滋病病例
6月6日 1944年诺曼底登陆
6月7日 1893年甘地首次进行非暴力抵抗
6月8日 1955年蒂姆·伯纳斯-李出生
6月9日 1906年美国通过纯食品和药品法案
6月10日 2003年精神号火星车发射
6月11日 1910年雅克-伊夫·库斯托出生
6月12日 1994年妮可·布朗·辛普森和罗纳德·戈德曼被杀
6月13日 1983年先驱者10号成为第一个离开太阳系的人造物体
6月14日 1900年夏威夷成为美国领土
6月15日 1752年本杰明·富兰克林进行风筝实验
6月16日 1963年瓦伦蒂娜·捷列什科娃成为第一位女宇航员
6月17日 1775年美国独立战争邦克山战役
6月18日 1983年萨莉·赖德成为第一位进入太空的美国女性
6月19日 1623年布莱兹·帕斯卡出生
6月20日 1840年塞缪尔·莫尔斯获得电报专利
6月21日 1788年美国宪法生效
6月22日 1633年伽利略被迫放弃日心说
6月23日 1868年克里斯托弗·莱瑟姆·肖尔斯获得打字机专利
6月24日 1947年肯尼斯·阿诺德报告首次现代UFO目击
6月25日 1876年小大角战役
6月26日 1974年超市首次使用条形码扫描器
6月27日 1954年世界上第一座核电站开始运行
6月28日 1914年弗朗茨·斐迪南大公遇刺
6月29日 2007年第一款iPhone发售
6月30日 1908年通古斯大爆炸
7月1日 1858年达尔文和华莱士共同宣读进化论论文
